Entity,Code,Year,Oil Production - Tonnes
Africa,,1965,1235.1008933681346
Africa,,1966,1571.8269173421181
Africa,,1967,1729.1370394558655
Africa,,1968,2216.125948837418
Africa,,1969,2818.294394278596
Africa,,1970,3399.6292091748724
Africa,,1971,3181.029766340323
Africa,,1972,3194.173460875456
Africa,,1973,3346.921527334435
Africa,,1974,3085.5672641359947
Africa,,1975,2831.0926141309533
Africa,,1976,3377.110139205148
Africa,,1977,3541.035529209762
Africa,,1978,3456.5451994071705
Africa,,1979,3800.2237991289726
Africa,,1980,3492.487121483266
Africa,,1981,2773.1400622810615
Africa,,1982,2666.061560060346
Africa,,1983,2702.3514145127997
Africa,,1984,2885.7793477335867
Africa,,1985,3000.330927424279
Africa,,1986,2991.711510495009
Africa,,1987,2997.6373910783404
Africa,,1988,3124.963679217692
Africa,,1989,3449.0318204151667
Africa,,1990,3696.3718214984765
Africa,,1991,3834.597155538932
Africa,,1992,3907.297512905028
Africa,,1993,3856.359524623987
Africa,,1994,3848.5923958192257
Africa,,1995,3910.9529488490593
Africa,,1996,4037.57434926092
Africa,,1997,4131.453803971342
Africa,,1998,4145.346221269945
Africa,,1999,4028.149016253048
Africa,,2000,4321.540559576031
Africa,,2001,4278.2273669841
Africa,,2002,4307.260039950837
Africa,,2003,4684.481494782547
Africa,,2004,5212.513063328067
Africa,,2005,5404.72031141883
Africa,,2006,5530.834937382497
Africa,,2007,5646.26579005511
Africa,,2008,5703.680521649767
Africa,,2009,5487.110639572234
Africa,,2010,5664.290150198377
Africa,,2011,4722.236705355599
Africa,,2012,5142.9210347539165
Africa,,2013,4762.680220018547
Africa,,2014,4542.895793730119
Africa,,2015,4496.939602535452
Africa,,2016,4239.258037230146
Africa,,2017,4475.462403147774
Africa,,2018,4588.607321280245
Africa,,2019,4640.975850831896
Algeria,DZA,1965,304.00020254408093
Algeria,DZA,1966,391.26199670025227
Algeria,DZA,1967,449.44416229219127
Algeria,DZA,1968,493.38819052896696
Algeria,DZA,1969,516.7882778337531
Algeria,DZA,1970,561.8859317632244
Algeria,DZA,1971,427.9567852141062
Algeria,DZA,1972,578.318975289672
Algeria,DZA,1973,601.2550929722922
Algeria,DZA,1974,556.3107382619642
Algeria,DZA,1975,544.3293482115871
Algeria,DZA,1976,607.4248694911835
Algeria,DZA,1977,648.44500440806
Algeria,DZA,1978,662.158165906801
Algeria,DZA,1979,675.5451820717889
Algeria,DZA,1980,599.438756483627
Algeria,DZA,1981,534.1273481612086
Algeria,DZA,1982,531.3829025188912
Algeria,DZA,1983,522.8083115113348
Algeria,DZA,1984,567.3807405793452
Algeria,DZA,1985,547.3196423866495
Algeria,DZA,1986,563.8136628526454
Algeria,DZA,1987,583.7999057367757
Algeria,DZA,1988,611.4503845340053
Algeria,DZA,1989,633.6584114861462
Algeria,DZA,1990,678.6743478211594
Algeria,DZA,1991,682.6080561712844
Algeria,DZA,1992,657.1114050377836
Algeria,DZA,1993,655.038950755668
Algeria,DZA,1994,652.1086887657438
Algeria,DZA,1995,649.0848887657437
Algeria,DZA,1996,686.3132804282112
Algeria,DZA,1997,716.0245029471037
Algeria,DZA,1998,713.9167778337531
Algeria,DZA,1999,680.6859789609575
Algeria,DZA,2000,776.73281
Algeria,DZA,2001,764.6841300000001
Algeria,DZA,2002,824.49722
Algeria,DZA,2003,918.82815
Algeria,DZA,2004,971.6981300000001
Algeria,DZA,2005,1005.2701021
Algeria,DZA,2006,1002.5292600000002
Algeria,DZA,2007,1005.7856600000002
Algeria,DZA,2008,985.77052331912
Algeria,DZA,2009,898.23142
Algeria,DZA,2010,858.0032500000001
Algeria,DZA,2011,833.58025
Algeria,DZA,2012,781.6755600000001
Algeria,DZA,2013,753.43792
Algeria,DZA,2014,799.80673
Algeria,DZA,2015,781.82675
Algeria,DZA,2016,795.6897100000001
Algeria,DZA,2017,775.1162400000001
Algeria,DZA,2018,759.81116
Algeria,DZA,2019,747.99508
Angola,AGO,1965,7.617650000000001
Angola,AGO,1966,7.33853
Angola,AGO,1967,6.245310000000001
Angola,AGO,1968,8.7225
Angola,AGO,1969,28.586540000000003
Angola,AGO,1970,58.90595000000001
Angola,AGO,1971,66.53523
Angola,AGO,1972,82.07291000000001
Angola,AGO,1973,95.07525000000001
Angola,AGO,1974,99.33183000000001
Angola,AGO,1975,90.60933000000001
Angola,AGO,1976,87.96932000000001
Angola,AGO,1977,82.13106
Angola,AGO,1978,75.23447
Angola,AGO,1979,83.736
Angola,AGO,1980,86.38764
Angola,AGO,1981,83.24754
Angola,AGO,1982,74.54830000000001
Angola,AGO,1983,102.2277
Angola,AGO,1984,117.16062000000001
Angola,AGO,1985,133.18676000000002
Angola,AGO,1986,161.95937999999998
Angola,AGO,1987,203.59478000000001
Angola,AGO,1988,259.58160000000004
Angola,AGO,1989,263.32646
Angola,AGO,1990,271.9094
Angola,AGO,1991,285.09782
Angola,AGO,1992,315.78939
Angola,AGO,1993,288.5403
Angola,AGO,1994,318.94112
Angola,AGO,1995,362.54199000000006
Angola,AGO,1996,411.28332000000006
Angola,AGO,1997,424.495
Angola,AGO,1998,418.68
Angola,AGO,1999,426.8210000000001
Angola,AGO,2000,428.56550000000004
Angola,AGO,2001,425.0765
Angola,AGO,2002,518.6980000000001
Angola,AGO,2003,498.1446353075681
Angola,AGO,2004,634.8000031872818
Angola,AGO,2005,726.1116509137938
Angola,AGO,2006,798.7351763750179
Angola,AGO,2007,944.1738358078047
Angola,AGO,2008,1073.3397898962714
Angola,AGO,2009,1000.6081259586306
Angola,AGO,2010,1034.2382672259616
Angola,AGO,2011,954.0292641746884
Angola,AGO,2012,991.9908145075433
Angola,AGO,2013,990.9448441067475
Angola,AGO,2014,968.5163020622406
Angola,AGO,2015,1025.3317209368288
Angola,AGO,2016,997.4822659624839
Angola,AGO,2017,949.0654772963155
Angola,AGO,2018,861.6135782091242
Angola,AGO,2019,803.2154950849668
Argentina,ARG,1965,160.08414275862123
Argentina,ARG,1966,170.3093189655175
Argentina,ARG,1967,185.64126827586247
Argentina,ARG,1968,203.38062758620748
Argentina,ARG,1969,210.58160275862122
Argentina,ARG,1970,232.6060155172413
Argentina,ARG,1971,250.8691258620688
Argentina,ARG,1972,258.39574103448257
Argentina,ARG,1973,251.22163517241378
Argentina,ARG,1974,245.91354275862122
Argentina,ARG,1975,235.63021655172378
Argentina,ARG,1976,237.41642413793124
Argentina,ARG,1977,256.58065896551744
Argentina,ARG,1978,269.93069586206883
Argentina,ARG,1979,282.35434310344874
Argentina,ARG,1980,293.8556110344826
Argentina,ARG,1981,299.31409137931007
Argentina,ARG,1982,297.394339310345
Argentina,ARG,1983,298.51081931034497
Argentina,ARG,1984,292.3986527586212
Argentina,ARG,1985,280.96475862068996
Argentina,ARG,1986,265.96245965517255
Argentina,ARG,1987,262.5191775862063
Argentina,ARG,1988,275.8607927586212
Argentina,ARG,1989,281.79449896551745
Argentina,ARG,1990,295.82709655172374
Argentina,ARG,1991,301.00766
Argentina,ARG,1992,337.74041344827623
Argentina,ARG,1993,361.3188348275863
Argentina,ARG,1994,401.36292999999995
Argentina,ARG,1995,435.624107931035
Argentina,ARG,1996,474.6900800000001
Argentina,ARG,1997,504.5743675862075
Argentina,ARG,1998,512.0464420689651
Argentina,ARG,1999,484.8414924397926
Argentina,ARG,2000,480.8711048362693
Argentina,ARG,2001,510.89625816965156
Argentina,ARG,2002,503.2772493511093
Argentina,ARG,2003,501.1834709646958
Argentina,ARG,2004,477.1304694658669
Argentina,ARG,2005,457.8623615777238
Argentina,ARG,2006,458.60774130114436
Argentina,ARG,2007,444.43427114967113
Argentina,ARG,2008,439.66975650335746
Argentina,ARG,2009,395.9277817379439
Argentina,ARG,2010,387.02926026815936
Argentina,ARG,2011,362.6854727470907
Argentina,ARG,2012,358.67788435336047
Argentina,ARG,2013,351.06257256875995
Argentina,ARG,2014,346.41472628621665
Argentina,ARG,2015,349.4313565036392
Argentina,ARG,2016,332.9761651708795
Argentina,ARG,2017,316.80293335281954
Argentina,ARG,2018,320.31754376735284
Argentina,ARG,2019,335.34129349097464
Asia Pacific,,1965,522.2455402706081
Asia Pacific,,1966,581.640298653757
Asia Pacific,,1967,616.696426009867
Asia Pacific,,1968,721.6399486640552
Asia Pacific,,1969,830.6772727326164
Asia Pacific,,1970,1148.6549297169063
Asia Pacific,,1971,1379.3431745891105
Asia Pacific,,1972,1624.5075434247794
Asia Pacific,,1973,1939.5765475497162
Asia Pacific,,1974,2067.8260222085382
Asia Pacific,,1975,2198.217688557691
Asia Pacific,,1976,2508.10735525716
Asia Pacific,,1977,2738.54063637131
Asia Pacific,,1978,2862.0736844557846
Asia Pacific,,1979,2935.819936041971
Asia Pacific,,1980,2847.7196612993243
Asia Pacific,,1981,2814.622045177604
Asia Pacific,,1982,2756.8235449057033
Asia Pacific,,1983,2960.2753803323108
Asia Pacific,,1984,3255.4893450031354
Asia Pacific,,1985,3365.3344355982886
Asia Pacific,,1986,3488.1987098816317
Asia Pacific,,1987,3519.8414823169774
Asia Pacific,,1988,3557.6661680266407
Asia Pacific,,1989,3661.528223873854
Asia Pacific,,1990,3791.2953976791487
Asia Pacific,,1991,3898.6806042747276
Asia Pacific,,1992,3892.5122485062757
Asia Pacific,,1993,3916.549902648574
Asia Pacific,,1994,4025.6849499723235
Asia Pacific,,1995,4096.689217804909
Asia Pacific,,1996,4232.755560207389
Asia Pacific,,1997,4274.90679022421
Asia Pacific,,1998,4256.513383239792
Asia Pacific,,1999,4215.497631903885
Asia Pacific,,2000,4438.421337338111
Asia Pacific,,2001,4395.320314770921
Asia Pacific,,2002,4407.667778215902
Asia Pacific,,2003,4361.967231550817
Asia Pacific,,2004,4409.028818645532
Asia Pacific,,2005,4453.457963501326
Asia Pacific,,2006,4430.128806114422
Asia Pacific,,2007,4440.920562880271
Asia Pacific,,2008,4518.889352769682
Asia Pacific,,2009,4470.690931866232
Asia Pacific,,2010,4691.22346016017
Asia Pacific,,2011,4603.208475873765
Asia Pacific,,2012,4662.513897149596
Asia Pacific,,2013,4586.752733060838
Asia Pacific,,2014,4594.686322753295
Asia Pacific,,2015,4649.472032213946
Asia Pacific,,2016,4462.621232643295
Asia Pacific,,2017,4300.834284410427
Asia Pacific,,2018,4198.864689061938
Asia Pacific,,2019,4207.606720866438
Australia,AUS,1965,4.026375338753393
Australia,AUS,1966,5.176768292682925
Australia,AUS,1967,12.079126016260142
Australia,AUS,1968,22.49412195121946
Australia,AUS,1969,25.883841463414626
Australia,AUS,1970,101.23457994579947
Australia,AUS,1971,177.42034503784657
Australia,AUS,1972,189.33646520885875
Australia,AUS,1973,237.1872258667415
Australia,AUS,1974,234.67718744743436
Australia,AUS,1975,251.46201567610476
Australia,AUS,1976,257.49902467059127
Australia,AUS,1977,272.4299106975989
Australia,AUS,1978,269.7096280487807
Australia,AUS,1979,270.7033295486407
Australia,AUS,1980,253.98469102887617
Australia,AUS,1981,247.38208756191003
Australia,AUS,1982,243.9309087001211
Australia,AUS,1983,237.44705599943916
Australia,AUS,1984,307.9994051956865
Australia,AUS,1985,356.8410824680856
Australia,AUS,1986,318.8083821442499
Australia,AUS,1987,338.8720360572926
Australia,AUS,1988,321.60831788672147
Australia,AUS,1989,303.3327607735021
Australia,AUS,1990,352.09924306418685
Australia,AUS,1991,332.7697279060789
Australia,AUS,1992,327.94684969158345
Australia,AUS,1993,305.88652256474523
Australia,AUS,1994,329.339113255461
Australia,AUS,1995,310.1140087727109
Australia,AUS,1996,326.4059734232054
Australia,AUS,1997,346.43538343383057
Australia,AUS,1998,328.0255119660377
Australia,AUS,1999,319.49730575666786
Australia,AUS,2000,431.3765421355219
Australia,AUS,2001,399.14747661108805
Australia,AUS,2002,396.66781265048087
Australia,AUS,2003,343.3505030528255
Australia,AUS,2004,299.85921196444383
Australia,AUS,2005,294.5562402201548
Australia,AUS,2006,273.4156245841032
Australia,AUS,2007,284.62321586906694
Australia,AUS,2008,280.5913031358912
Australia,AUS,2009,260.2149296805031
Australia,AUS,2010,285.28741728421465
Australia,AUS,2011,250.36987038627356
Australia,AUS,2012,248.68086494174815
Australia,AUS,2013,207.12045570189056
Australia,AUS,2014,222.0796811102166
Australia,AUS,2015,197.5434732152593
Australia,AUS,2016,181.53444191665153
Australia,AUS,2017,173.8270600252051
Australia,AUS,2018,176.32489341298572
Australia,AUS,2019,239.8472006411414
Azerbaijan,AZE,1985,153.8649
Azerbaijan,AZE,1986,151.77150000000003
Azerbaijan,AZE,1987,161.7733
Azerbaijan,AZE,1988,159.79620000000003
Azerbaijan,AZE,1989,153.0508
Azerbaijan,AZE,1990,145.375
Azerbaijan,AZE,1991,136.928131
Azerbaijan,AZE,1992,130.205991
Azerbaijan,AZE,1993,119.22261900000001
Azerbaijan,AZE,1994,111.215364
Azerbaijan,AZE,1995,106.550571
Azerbaijan,AZE,1996,105.83765200000002
Azerbaijan,AZE,1997,104.98401000000001
Azerbaijan,AZE,1998,133.15187000000003
Azerbaijan,AZE,1999,161.08713
Azerbaijan,AZE,2000,163.62247000000002
Azerbaijan,AZE,2001,174.20577000000003
Azerbaijan,AZE,2002,178.33442000000002
Azerbaijan,AZE,2003,178.84614000000002
Azerbaijan,AZE,2004,179.78817000000004
Azerbaijan,AZE,2005,258.351146
Azerbaijan,AZE,2006,375.272188
Azerbaijan,AZE,2007,504.2756370000001
Azerbaijan,AZE,2008,527.175107
Azerbaijan,AZE,2009,591.578558
Azerbaijan,AZE,2010,596.8201990000001
Azerbaijan,AZE,2011,536.0848500000001
Azerbaijan,AZE,2012,508.67642900000004
Azerbaijan,AZE,2013,509.91735
Azerbaijan,AZE,2014,494.42502700000006
Azerbaijan,AZE,2015,488.691437
Azerbaijan,AZE,2016,481.802988
Azerbaijan,AZE,2017,454.60855900000007
Azerbaijan,AZE,2018,455.8762290000001
Azerbaijan,AZE,2019,443.3847232655558
Brazil,BRA,1965,58.675574575581415
Brazil,BRA,1966,71.6325440523256
Brazil,BRA,1967,90.14250044767442
Brazil,BRA,1968,99.05111155116275
Brazil,BRA,1969,108.03545829651169
Brazil,BRA,1970,102.25953257746113
Brazil,BRA,1971,107.04191861962673
Brazil,BRA,1972,104.9971379725177
Brazil,BRA,1973,106.48250518541296
Brazil,BRA,1974,111.11110297914465
Brazil,BRA,1975,108.28660091102745
Brazil,BRA,1976,105.45652675853836
Brazil,BRA,1977,101.6197884593336
Brazil,BRA,1978,101.04517888582521
Brazil,BRA,1979,104.67682717464353
Brazil,BRA,1980,114.91550791969131
Brazil,BRA,1981,134.21122738726967
Brazil,BRA,1982,163.54336675629375
Brazil,BRA,1983,207.3508415597272
Brazil,BRA,1984,290.23806346783584
Brazil,BRA,1985,342.7414708137202
Brazil,BRA,1986,360.3713726064159
Brazil,BRA,1987,358.5115271676769
Brazil,BRA,1988,350.3432442967277
Brazil,BRA,1989,374.16557176748427
Brazil,BRA,1990,396.90587146179473
Brazil,BRA,1991,392.2805673859195
Brazil,BRA,1992,398.22034106074835
Brazil,BRA,1993,406.4251134552135
Brazil,BRA,1994,421.47179796263833
Brazil,BRA,1995,436.17145246231405
Brazil,BRA,1996,494.6624284945891
Brazil,BRA,1997,530.2834527658513
Brazil,BRA,1998,612.6592179660396
Brazil,BRA,1999,691.9452284766584
Brazil,BRA,2000,780.2454716108327
Brazil,BRA,2001,816.7413195185303
Brazil,BRA,2002,914.1956016656825
Brazil,BRA,2003,948.0191703394889
Brazil,BRA,2004,940.9148842193399
Brazil,BRA,2005,1034.8538800302529
Brazil,BRA,2006,1093.6329893947407
Brazil,BRA,2007,1104.972570565957
Brazil,BRA,2008,1148.9142307005031
Brazil,BRA,2009,1229.1023530462526
Brazil,BRA,2010,1294.0446394171406
Brazil,BRA,2011,1324.0454093601597
Brazil,BRA,2012,1301.9558497150547
Brazil,BRA,2013,1275.9681683791473
Brazil,BRA,2014,1424.1489672904318
Brazil,BRA,2015,1537.3996063891698
Brazil,BRA,2016,1584.0059065875378
Brazil,BRA,2017,1655.142122050248
Brazil,BRA,2018,1630.7965555112626
Brazil,BRA,2019,1753.5769679956056
Brunei,BRN,1965,46.11264895095371
Brunei,BRN,1966,55.36594595367843
Brunei,BRN,1967,59.992594455040845
Brunei,BRN,1968,70.59543729155311
Brunei,BRN,1969,71.5592157084469
Brunei,BRN,1970,78.49918846049052
Brunei,BRN,1971,74.45087102179843
Brunei,BRN,1972,105.39036917166213
Brunei,BRN,1973,132.97913122615833
Brunei,BRN,1974,113.27886190735698
Brunei,BRN,1975,106.60954809264302
Brunei,BRN,1976,123.5278073297003
Brunei,BRN,1977,129.12744634877342
Brunei,BRN,1978,136.49191410081696
Brunei,BRN,1979,148.17535822888334
Brunei,BRN,1980,136.24883442506828
Brunei,BRN,1981,98.4388868392371
Brunei,BRN,1982,100.90604715258853
Brunei,BRN,1983,101.63282625916058
Brunei,BRN,1984,97.92558669193166
Brunei,BRN,1985,95.09558841556317
Brunei,BRN,1986,93.74967621877234
Brunei,BRN,1987,87.97888728802181
Brunei,BRN,1988,85.20506940316596
Brunei,BRN,1989,84.88346927472872
Brunei,BRN,1990,86.03724784919561
Brunei,BRN,1991,93.08701132485662
Brunei,BRN,1992,103.77186985619993
Brunei,BRN,1993,99.33859151815237
Brunei,BRN,1994,101.65299393553832
Brunei,BRN,1995,99.32617466676787
Brunei,BRN,1996,93.99978921667326
Brunei,BRN,1997,92.58173772888833
Brunei,BRN,1998,89.11289445100277
Brunei,BRN,1999,103.66080535421706
Brunei,BRN,2000,110.3081702749965
Brunei,BRN,2001,115.73348821082973
Brunei,BRN,2002,119.65383896817758
Brunei,BRN,2003,122.04537465409787
Brunei,BRN,2004,120.05513411504278
Brunei,BRN,2005,117.37952485650503
Brunei,BRN,2006,125.68925935724451
Brunei,BRN,2007,110.43321622795794
Brunei,BRN,2008,99.55132955166636
Brunei,BRN,2009,95.62808185703062
Brunei,BRN,2010,97.98433693099084
Brunei,BRN,2011,94.01257623185174
Brunei,BRN,2012,90.5703761345396
Brunei,BRN,2013,76.48023961288837
Brunei,BRN,2014,71.56503959801614
Brunei,BRN,2015,71.83905082793035
Brunei,BRN,2016,68.59531178259752
Brunei,BRN,2017,63.82049736290032
Brunei,BRN,2018,62.94826674715746
Brunei,BRN,2019,68.6296229942889
CIS,,1965,2824.78744
CIS,,1966,3083.1130000000003
CIS,,1967,3350.6030000000005
CIS,,1968,3595.996
CIS,,1969,3818.1290000000004
CIS,,1970,4105.84357
CIS,,1971,4384.51
CIS,,1972,4656.652
CIS,,1973,4989.27
CIS,,1974,5337.0070000000005
CIS,,1975,5708.01563
CIS,,1976,6043.843510000001
CIS,,1977,6347.6423700000005
CIS,,1978,6646.90553
CIS,,1979,6810.528000000001
CIS,,1980,7014.9834
CIS,,1981,7080.576600000001
CIS,,1982,7123.968129999999
CIS,,1983,7168.069090000002
CIS,,1984,7125.817300000001
CIS,,1985,6860.37418
CIS,,1986,7085.01926
CIS,,1987,7200.49353
CIS,,1988,7188.95657
CIS,,1989,6997.37558
CIS,,1990,6571.47335
CIS,,1991,5940.344651
CIS,,1992,5192.872921000001
CIS,,1993,4636.558849
CIS,,1994,4178.43803
CIS,,1995,4119.953086
CIS,,1996,4057.513942
CIS,,1997,4156.792274
CIS,,1998,4165.941595
CIS,,1999,4254.832011
CIS,,2000,4567.718849472961
CIS,,2001,4926.632934841813
CIS,,2002,5392.20264273
CIS,,2003,5934.68763292
CIS,,2004,6465.655675834922
CIS,,2005,6694.108711646124
CIS,,2006,6988.049096618185
CIS,,2007,7267.8656746701345
CIS,,2008,7298.211841611516
CIS,,2009,7511.4980463530255
CIS,,2010,7674.761653467029
CIS,,2011,7705.076321379966
CIS,,2012,7753.4551022214555
CIS,,2013,7856.080308108104
CIS,,2014,7863.47028735843
CIS,,2015,7928.289036615023
CIS,,2016,8066.008783688272
CIS,,2017,8118.962308090489
CIS,,2018,8270.497515337262
CIS,,2019,8314.48927869053
Canada,CAN,1965,510.25668625602316
Canada,CAN,1966,560.7073527809611
Canada,CAN,1967,612.9142580939356
Canada,CAN,1968,664.2978796498521
Canada,CAN,1969,723.5958435915036
Canada,CAN,1970,814.8895504597025
Canada,CAN,1971,874.1546821623572
Canada,CAN,1972,1008.4739029286216
Canada,CAN,1973,1166.6589348568973
Canada,CAN,1974,1097.7155507478506
Canada,CAN,1975,948.7265586366427
Canada,CAN,1976,875.7927989599084
Canada,CAN,1977,878.9293585193601
Canada,CAN,1978,874.4582460914273
Canada,CAN,1979,1003.3732193582498
Canada,CAN,1980,968.4241095663764
Canada,CAN,1981,876.4554417250822
Canada,CAN,1982,867.1809495678892
Canada,CAN,1983,913.6585337218411
Canada,CAN,1984,974.7762353303177
Canada,CAN,1985,996.5191948305409
Canada,CAN,1986,997.1099235113032
Canada,CAN,1987,1050.1237123709523
Canada,CAN,1988,1105.9544726657525
Canada,CAN,1989,1077.1761928975614
Canada,CAN,1990,1078.773799201629
Canada,CAN,1991,1084.0847313745699
Canada,CAN,1992,1129.9682210021756
Canada,CAN,1993,1189.5297148677103
Canada,CAN,1994,1240.8296609598387
Canada,CAN,1995,1301.4705337542637
Canada,CAN,1996,1342.7245230424467
Canada,CAN,1997,1403.7891691277316
Canada,CAN,1998,1454.7723226771275
Canada,CAN,1999,1407.192193962708
Canada,CAN,2000,1540.9928731674981
Canada,CAN,2001,1546.800402271223
Canada,CAN,2002,1619.939112300435
Canada,CAN,2003,1708.5366630051574
Canada,CAN,2004,1760.0206253832102
Canada,CAN,2005,1729.5223261165766
Canada,CAN,2006,1828.0067524003352
Canada,CAN,2007,1878.6104883194882
Canada,CAN,2008,1846.4664536311166
Canada,CAN,2009,1842.370958583899
Canada,CAN,2010,1927.621567103624
Canada,CAN,2011,2036.772791349823
Canada,CAN,2012,2184.493550201125
Canada,CAN,2013,2333.4406053840416
Canada,CAN,2014,2510.072478733739
Canada,CAN,2015,2600.768889429327
Canada,CAN,2016,2636.9160616550325
Canada,CAN,2017,2858.9170640616844
Canada,CAN,2018,3120.058023522012
Canada,CAN,2019,3196.52516843474
Chad,TCD,1999,0
Chad,TCD,2003,14.391079136690694
Chad,TCD,2004,102.74561151079139
Chad,TCD,2005,105.92503597122305
Chad,TCD,2006,93.54201438848924
Chad,TCD,2007,87.68517985611511
Chad,TCD,2008,77.81223021582737
Chad,TCD,2009,71.95539568345323
Chad,TCD,2010,74.46546762589932
Chad,TCD,2011,69.44532374100717
Chad,TCD,2012,61.747769784172654
Chad,TCD,2013,55.3586660998879
Chad,TCD,2014,54.24037007346768
Chad,TCD,2015,67.56120760281513
Chad,TCD,2016,71.36180048345325
Chad,TCD,2017,60.10827111366901
Chad,TCD,2018,70.54890699136686
Chad,TCD,2019,77.49495879568343
China,CHN,1965,131.5353
China,CHN,1966,169.21650000000002
China,CHN,1967,161.42440000000002
China,CHN,1968,185.96370000000002
China,CHN,1969,252.8362
China,CHN,1970,356.4595
China,CHN,1971,458.3383
China,CHN,1972,531.1421
China,CHN,1973,623.4843000000001
China,CHN,1974,754.2055
China,CHN,1975,896.2078000000001
China,CHN,1976,1013.6708
China,CHN,1977,1089.0332
China,CHN,1978,1210.1015
China,CHN,1979,1234.5245000000002
China,CHN,1980,1232.1985000000002
China,CHN,1981,1177.1886000000002
China,CHN,1982,1187.6556
China,CHN,1983,1233.5941
China,CHN,1984,1332.9143000000001
China,CHN,1985,1452.5870000000002
China,CHN,1986,1519.9247
China,CHN,1987,1560.0482
China,CHN,1988,1593.8915000000002
China,CHN,1989,1600.7531999999999
China,CHN,1990,1608.5453000000002
China,CHN,1991,1639.7137000000002
China,CHN,1992,1651.9252000000001
China,CHN,1993,1675.0689000000002
China,CHN,1994,1698.9104000000002
China,CHN,1995,1733.1026000000002
China,CHN,1996,1843.5876000000003
China,CHN,1997,1862.3119000000002
China,CHN,1998,1862.8934000000002
China,CHN,1999,1863.3586
China,CHN,2000,1891.2706000000003
China,CHN,2001,1916.9729000000002
China,CHN,2002,1940.65158
China,CHN,2003,1972.2735500000001
China,CHN,2004,2024.21313
China,CHN,2005,2109.134227
China,CHN,2006,2148.825091
China,CHN,2007,2166.880666
China,CHN,2008,2214.8125480000003
China,CHN,2009,2203.7687
China,CHN,2010,2361.0528200000003
China,CHN,2011,2359.442065
China,CHN,2012,2412.96914
China,CHN,2013,2441.8264845500003
China,CHN,2014,2458.9192700000003
China,CHN,2015,2495.3328
China,CHN,2016,2322.33655
China,CHN,2017,2227.21478
China,CHN,2018,2199.30278
China,CHN,2019,2221.4928200000004
Colombia,COL,1965,123.91236537244406
Colombia,COL,1966,121.46217778225659
Colombia,COL,1967,117.17434949942796
Colombia,COL,1968,107.66777338289297
Colombia,COL,1969,130.650381245459
Colombia,COL,1970,136.76792935587392
Colombia,COL,1971,135.78943849281012
Colombia,COL,1972,123.01545852246561
Colombia,COL,1973,115.69473190724987
Colombia,COL,1974,105.52803758098217
Colombia,COL,1975,98.84857274244919
Colombia,COL,1976,92.36291455948654
Colombia,COL,1977,86.84423772354089
Colombia,COL,1978,82.55640944071259
Colombia,COL,1979,77.6560342603374
Colombia,COL,1980,79.09724073503513
Colombia,COL,1981,84.3940501333533
Colombia,COL,1982,88.92848134821122
Colombia,COL,1983,95.41989428919736
Colombia,COL,1984,104.8946952804896
Colombia,COL,1985,110.73356672786986
Colombia,COL,1986,186.6893820236855
Colombia,COL,1987,236.79888658904335
Colombia,COL,1988,232.53384979608876
Colombia,COL,1989,248.4372776424344
Colombia,COL,1990,271.83340078270396
Colombia,COL,1991,262.5844073204955
Colombia,COL,1992,270.6158065060457
Colombia,COL,1993,279.4891175197789
Colombia,COL,1994,280.5261594173263
Colombia,COL,1995,360.7112519614874
Colombia,COL,1996,387.98357105926317
Colombia,COL,1997,405.16249185574924
Colombia,COL,1998,469.9550412676019
Colombia,COL,1999,508.29889288102737
Colombia,COL,2000,421.97264935064953
Colombia,COL,2001,369.978326118326
Colombia,COL,2002,354.0521067821063
Colombia,COL,2003,331.3878715728717
Colombia,COL,2004,324.4889824242424
Colombia,COL,2005,322.2987899451654
Colombia,COL,2006,323.06257886724416
Colombia,COL,2007,325.3199350158734
Colombia,COL,2008,360.9544647922078
Colombia,COL,2009,410.77593146176
Colombia,COL,2010,481.3789226219331
Colombia,COL,2011,560.6425616493506
Colombia,COL,2012,579.9017342438674
Colombia,COL,2013,618.5937741867422
Colombia,COL,2014,606.6536151671985
Colombia,COL,2015,615.9615007893218
Colombia,COL,2016,544.1410612248776
Colombia,COL,2017,523.1395215656478
Colombia,COL,2018,530.1476911146382
Colombia,COL,2019,542.612296429134
Congo,COG,1965,0.82573
Congo,COG,1966,0.72106
Congo,COG,1967,0.5815
Congo,COG,1968,0.50009
Congo,COG,1969,0.27912000000000003
Congo,COG,1970,0.22097
Congo,COG,1971,0.16282
Congo,COG,1972,3.9076800000000005
Congo,COG,1973,24.31833
Congo,COG,1974,28.551650000000002
Congo,COG,1975,20.806070000000002
Congo,COG,1976,24.423000000000002
Congo,COG,1977,19.06157
Congo,COG,1978,28.260900000000003
Congo,COG,1979,32.122060000000005
Congo,COG,1980,36.84384000000001
Congo,COG,1981,47.694630000000004
Congo,COG,1982,52.95139
Congo,COG,1983,62.39495000000001
Congo,COG,1984,70.07075
Congo,COG,1985,69.04731000000001
Congo,COG,1986,69.21013
Congo,COG,1987,73.46671
Congo,COG,1988,81.85194
Congo,COG,1989,92.59806000000002
